id,website_name,tyre_brand,tyre_pattern,tyre_size,seasonality,price
1,Dexel,Budget,Economy,205/55R16 91H,summer,48.48
2,Dexel,Budget,Economy,205/55R16 91V,summer,48.48
3,Dexel,Budget,Economy,205/55R16 91W,summer,50.08
4,Dexel,Landsail,Ls388,205/55R16 91V,summer,67.57
5,Dexel,Budget,Economy,205/55R16 94Y,summer,67.82
6,Dexel,Landsail,Ls388,205/55ZR16 91W,summer,68.47
7,Dexel,Budget,Economy winter,205/55R16 91H,winter,77.48
8,Dexel,Yokohama,Bluearth-es es32,205/55R16 91V,summer,78.54
9,Dexel,Yokohama,Bluearth-gt ae51,205/55R16 91V,summer,78.54
10,Dexel,Vredestein,Ultrac+,205/55R16 91H,summer,80.20
11,Dexel,Davanti,Dx-390,205/55R16 91V,summer,81.03
12,Dexel,Davanti,Ecoura hp1,205/55R16 91V,summer,81.03
13,Dexel,Vredestein,Ultrac+,205/55R16 91V,summer,81.18
14,Dexel,Yokohama,Bluearth-es es32,205/55R16 91H,summer,83.13
15,Dexel,Landsail,Ls388,205/55ZR16 94W,summer,84.00
16,Dexel,Davanti,Dx-390,205/55R16 94V,summer,84.78
17,Dexel,Davanti,Ecoura hp1,205/55R16 94V,summer,84.78
18,Dexel,Yokohama,Bluearth-a ae50,205/55R16 91V,summer,85.41
19,Dexel,Vredestein,Ultrac+,205/55R16 94W,summer,87.06
20,Dexel,Davanti,Alltoura,205/55R16 91V,all season,87.38
21,Dexel,Yokohama,Bluearth-gt ae51,205/55R16 91W,summer,87.78
22,Dexel,Yokohama,Advan db decibel v552,205/55R16 91W,summer,87.78
23,Dexel,Uniroyal,Rainsport 5,205/55R16 91H,summer,88.57
24,Dexel,Uniroyal,Rainsport 5,205/55R16 91V,summer,89.41
25,Dexel,Dunlop,Sp sport bluresponse,205/55R16 91H,summer,89.83
26,Dexel,Yokohama,C.drive2 ac02a,205/55R16 91H,summer,89.96
27,Dexel,Yokohama,Advan sport v103s,205/55R16 91V,summer,90.62
28,Dexel,Yokohama,Advan sport v105,205/55R16 91V,summer,90.62
29,Dexel,Yokohama,C.drive2 ac02a,205/55R16 91V,summer,90.62
30,Dexel,Yokohama,Db decibel e70jc,205/55R16 91V,summer,90.62
31,Dexel,Yokohama,Db decibel e70j,205/55R16 91V,summer,90.62
32,Dexel,Dunlop,Sp sport bluresponse,205/55R16 91V,summer,91.41
